=== 1: Old Burmese <<->> ===
== Pattern 1: -:⁵⁵:-:- ==
| ID                                     | OBurm     | Acha-LC              | Maru                | Bola                |
| 5217 ("hat")                  | uḥ<thup> | Ø           | mauk³¹<kja̱p⁵⁵>  | mauʔ³¹<kja̱p⁵⁵>  |

== Pattern 8: -:-:-:³⁵ ==
| ID                                   | OBurm    | Acha-LC                 | Maru           | Bola              |
|--------------------------------------|----------|-------------------------|----------------|-------------------|
|                                      | -        | -                       | -              | ³⁵                |
| 1499 ("burn the grass on wasteland") | Ø        | ʐa⁵⁵<ŋ̊eʔ⁵⁵>             | mi³⁵<ŋa̱⁵⁵>     | <ŋjɛ³⁵>           |
| 7310 ("noon")                        | Ø        | <ni³¹>kuŋ⁵⁵             | <na⁵⁵>kauŋ³⁵   | <ŋji³⁵>kauŋ³¹tu̱⁵⁵ |
| 11759 ("tonight")                    | Ø        | xai⁵⁵<ȵen³¹>ni³¹tɕhot³⁵ | a³¹<na⁵⁵>mji³¹ | a³¹khə̆³¹<mjɔn³⁵>  |
| 12471 ("we (inclusive)")             | Ø        | <ŋɔ⁵⁵>tuʔ³¹             | ŋjɔ̱³⁵<na̱uŋ⁵⁵>  | <ŋjɔ̱̃³⁵>           |
| 2927 ("day (time)")                  | <niyʔ>   | <niʔ³¹>                 | <na⁵⁵>         | <ŋji³⁵>kauŋ³¹     |
| 9945 ("shrivel up / wither")         | <ñhuiwḥ> | <ȵ̥au³¹>                 | Ø              | <ŋju̱³⁵>           |
| 2866 ("date (time)")                 | Ø        | Ø                       | pa³¹<na³¹>     | pui⁵⁵<ŋji³⁵>      |

== Pattern 9: -:³¹:-:- ==
| ID                                              | OBurm      | Acha-LC       | Maru         | Bola         |
|-------------------------------------------------|------------|---------------|--------------|--------------|
|                                                 | -          | ³¹            | -            | -            |
| 2172 ("clean")                                  | Ø          | <kʐəŋ³¹>      | <san³¹>      | <san³¹>sɛŋ⁵⁵ |
| 4133 ("finish / be over")                       | Ø          | <pʐua³¹>      | <pəŋ³¹>      | <pɛ̱̃³⁵>       |
| 6523 ("loom")                                   | Ø          | <jɔ³¹>kan⁵¹   | <ɣɔʔ³¹>kaŋ³⁵ | <ɣaʔ³¹>kɛ̃³¹  |
| 9515 ("section (of bamboo between two joints)") | Ø          | <pʐoŋ³¹>      | <paŋ³⁵>      | <thauŋ³⁵>    |
| 2634 ("cross (a bridge)")                       | <kuḥ>      | <kʐo³¹>       | <kau³⁵>      | <ku³¹>       |
| 678 ("bat")                                     | <laṅḥ>nuiw | uaŋ⁵⁵<liaŋ³¹> | Ø            | Ø            |
| 2714 ("cucumber")                               | Ø          | <tiaŋ³¹>xo³¹  | Ø            | <taŋ⁵⁵>khɔ³¹ |

== Pattern 10: -:³¹:³¹:³¹ ==
| ID                    | OBurm   | Acha-LC   | Maru        | Bola              |
|-----------------------|---------|-----------|-------------|-------------------|
|                       | -       | ³¹        | ³¹          | ³¹                |
| 290 ("itch / tickle") | <yaḥ>   | <jɔ³¹>    | na̱k⁵⁵<jo³¹> | na̱k⁵⁵tʃam³¹<ja³¹> |

== Pattern 11: -:-:-:- ==
| ID             | OBurm   | Acha-LC   | Maru     | Bola     |
|----------------|---------|-----------|----------|----------|
|                | -       | -         | -        | -        |
| 9764 ("sharp") | <mryak> | <thɔʔ⁵⁵>  | <thɔʔ⁵⁵> | <thaʔ⁵⁵> |

== Pattern 12: -:³⁵:⁵⁵:- ==
| ID                               | OBurm   | Acha-LC   | Maru      | Bola      |
|----------------------------------|---------|-----------|-----------|-----------|
|                                  | -       | ³⁵        | ⁵⁵        | -         |
| 10088 ("shave (hairs) / scrape") | <rit>   | <khʐət³⁵> | <khjat⁵⁵> | <khjɔt⁵⁵> |

== Pattern 13: -:ʐap:³¹:- ==
| ID                  | OBurm   | Acha-LC   | Maru    | Bola   |
|---------------------|---------|-----------|---------|--------|
|                     | -       | ʐap       | ³¹      | -      |
| 646 ("bark")        | Ø       | <kʐap⁵⁵>  | <ɣɛʔ³¹> | <ɣɛʔ>  |
| 5501 ("horizontal") | <phi>la | Ø         | <pji̱³¹> | <pi̱⁵⁵> |

=== 2: Old Burmese <<a>> ===
== Pattern 1: a:ɔ:ɔ:a ==
| ID                                       | OBurm      | Acha-LC             | Maru              | Bola                      |
|------------------------------------------|------------|---------------------|-------------------|---------------------------|
|                                          | a          | ɔ                   | ɔ                 | a                         |
| 437 ("asleep, fall")                     | Ø          | Ø                   | tɔ⁵⁵<tɔ̱³¹>        | i̱³¹<ta̱³⁵>ta̱³¹             |
| 1176 ("borrow (tools)")                  | Ø          | Ø                   | <ŋɔ̱³⁵>            | <ŋa̱³⁵>                    |
| 1605 ("birth, give to")                  | Ø          | Ø                   | <ɣɔ⁵⁵>            | <ɣa³⁵>                    |
| 1952 ("chisel")                          | Ø          | Ø                   | tʃhɔʔ⁵⁵<vɔ³¹>     | tʃhaʔ⁵⁵<va³¹>             |
| 2310 ("stupid")                          | Ø          | Ø                   | pa³¹<kɔ³¹>        | pui⁵⁵<ka⁵⁵>               |
| 2571 ("cover / hide from view")          | Ø          | Ø                   | <kɔ³¹>            | <ka⁵⁵>                    |
| 2728 ("cuddle / embrace")                | Ø          | Ø                   | <pɔ̱³¹>tsaŋ³¹      | <pa̱⁵⁵>                    |
| 3188 ("do / be in business")             | Ø          | Ø                   | vai³¹lɔʔ³⁵<xɔ³¹>  | phə̆⁵⁵<ka³¹>ka³⁵           |
