# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	ALIGNMENT	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
9911	Maru	gnaw / nibble (v.)	66	khai³⁵	kh ai ³⁵	124	i r t	kh ai ³⁵
#
1653	Achang_Longchuan	good	67	tɕi⁵⁵	tɕ i ⁵⁵	125	i r t	tɕ i ⁵⁵
1660	Maru	good	67	kai³¹	k ai ³¹	125	i r t	k ai ³¹
#
9885	Achang_Longchuan	grain (of rice)	68	lum³¹	l u m ³¹	126	i r t	l um ³¹
11120	Maru	grain (of rice)	68	tʃhɛʔ⁵⁵	tʃh ɛ ʔ ⁵⁵	127	i r t	tʃh ɛʔ ⁵⁵
#
1684	Achang_Longchuan	green	69	ȵau⁵⁵	ȵ - au - ⁵⁵	128	i r t	ȵ au ⁵⁵
1691	Maru	green	69	ŋjuk³¹	ŋ j u k ³¹	128	i m r t	ŋj j juk ³¹
#
6156	Achang_Longchuan	hard	70	kʐak⁵⁵	k ʐ a k ⁵⁵	129	i m r t	kʐ ʐ ʐak ⁵⁵
6210	Maru	hard	70	ɣɔ̃³¹	ɣ ɔ̃ ∼ ³¹	130	i r t	ɣ ɔ̃∼ ³¹
#
6160	Maru	he or she [third person singular]	71	jɔ̃³⁵	/ʔ j ɔ̃ ∼ ³⁵	132	i m r t	ʔj j jɔ̃∼ ³⁵
6635	Achang_Longchuan	he or she [third person singular]	71	ȵ̥aŋ³¹	ȵ̥ a ŋ ³¹	131	i r t	ȵ̥ aŋ ³¹
#
1841	Achang_Longchuan	heavy	72	li³¹	l i ³¹	133	i r t	l i ³¹
1848	Maru	heavy	72	la³⁵	l a ³⁵	133	i r t	l a ³⁵
#
1853	Achang_Longchuan	here	73	xai⁵⁵thɔʔ⁵⁵	x ai ⁵⁵ + tʰ ɔ ʔ ⁵⁵	134 135	i r t + i r t	x ai ⁵⁵ + tʰ ɔʔ ⁵⁵
1861	Maru	here	73	tʃhɛ̆³¹mɛ³¹	tʃh ɛ̆ ³¹ + m ɛ ³¹	136 137	i r t + i r t	tʃh ɛ̆ ³¹ + m ɛ ³¹
#
4242	Achang_Longchuan	high / tall	74	m̥ʐaŋ⁵⁵	m̥ ʐ a ŋ ⁵⁵	138	i m r t	m̥ʐ ʐ ʐaŋ ⁵⁵
4249	Maru	high / tall	74	mjɔ̃³¹	m j ɔ̃ ∼ ³¹	138	i m r t	mj j jɔ̃∼ ³¹
#
6135	Achang_Longchuan	horizontal	75	xaŋ³¹	x a ŋ ³¹	139	i r t	x aŋ ³¹
6195	Maru	horizontal	75	pji̱³¹	ˀp j i ³¹	140	i m r t	ˀpj j ji ³¹
#
6172	Achang_Longchuan	hot	76	pu⁵⁵	p u ⁵⁵	141	i r t	p u ⁵⁵
6220	Maru	hot	76	lauŋ³¹	l au ŋ ³¹	142	i r t	l auŋ ³¹
#
2048	Achang_Longchuan	hundred	77	pak³⁵	p a k ³⁵	143	i r t	p ak ³⁵
2058	Maru	hundred	77	jɔ³¹	/ʔ j ɔ ³¹	144	i m r t	ʔj j jɔ ³¹
#
9953	Achang_Longchuan	hungry	78	ʂut⁵⁵	ʂ u t ⁵⁵	145	i r t	ʂ ut ⁵⁵
9956	Maru	hungry	78	møʔ³¹	m ø ʔ ³¹	146	i r t	m øʔ ³¹
#
11275	Achang_Longchuan	inhale (v.)	80	tʂop⁵⁵	tʂ o p ⁵⁵	147	i r t	tʂ op ⁵⁵
11278	Maru	inhale (v.)	80	ʃɛ³¹	ʃ ɛ ³¹	148	i r t	ʃ ɛ ³¹
#
10796	Maru	injure / hurt (the arm) (v.)	81	tɛ̃³¹ tɛʔ³¹	t ɛ̃ ∼ ³¹ + t ɛ ʔ ³¹	150 151	i r t + i r t	t ɛ̃∼ ³¹ + t ɛʔ ³¹
11216	Achang_Longchuan	injure / hurt (the arm) (v.)	81	xa³¹	x a ³¹	149	i r t	x a ³¹
#
6515	Achang_Longchuan	inside	82	a³¹xau⁵⁵	/ʔ a ³¹ + x au - ⁵⁵	152 153	i r t + i r t	ʔ a ³¹ + x au ⁵⁵
6575	Maru	inside	82	a³¹kʰuk³¹	/ʔ a ³¹ + k u k ³¹	152 153	i r t + i r t	ʔ a ³¹ + k uk ³¹
#
6145	Achang_Longchuan	late	83	l̥ɔ³¹	l̥ ɔ ³¹	154	i r t	l̥ ɔ ³¹
6203	Maru	late	83	kjam³¹	k j a m ³¹	155	i m r t	kj j jam ³¹
#
10431	Achang_Longchuan	leak (v.)	84	ʑau⁵⁵	ʑ au ⁵⁵	156	i r t	ʑ au ⁵⁵
10434	Maru	leak (v.)	84	juk³¹	/ʔ j u k ³¹	157	i m r t	ʔj j juk ³¹
#
